year,economy,economy_label,mode,mode_label,direction,direction_label,us_dollars_at_current_prices_in_millions,us_dollars_at_current_prices_per_capita,percentage_of_total_world,percentage_of_gross_domestic_product,percentage_of_gross_fixed_capital_formation
2017,084,Belize,08,Flow,1,Inward,24.494,65.184,0.00144,1.33369,7.13469
2017,090,Solomon Islands,08,Flow,1,Inward,42.84,67.355,0.002519,3.57315,19.43341
2017,092,Virgin Islands BR,08,Flow,1,Inward,57574.407,1947252.24,3.385799,4220.48864,17661.65029
2017,096,Brunei Darussalam,08,Flow,1,Inward,460.084,1083.874,0.027056,3.79351,10.96785
2017,100,Bulgaria,08,Flow,1,Inward,1828.719,257.477,0.107542,3.10207,16.88371
2017,104,Myanmar,08,Flow,1,Inward,4341,81.319,0.255283,6.52875,19.93172
2017,108,Burundi,08,Flow,1,Inward,0.316,0.029,1.9e-5,0.00984,0.07044
2017,1100,Developed economies,08,Flow,1,Inward,950149.775,898.793,55.875796,2.03763,9.68887
2017,112,Belarus,08,Flow,1,Inward,1278.5,135.288,0.075185,2.33621,8.93117
2017,1120,Developed economies: America,08,Flow,1,Inward,303491.418,831.146,17.847528,1.42617,6.93033
2017,1130,Developed economies: Asia,08,Flow,1,Inward,29146.287,214.711,1.714016,0.55909,2.36133
2017,1140,Developed economies: Europe,08,Flow,1,Inward,569779.883,1081.262,33.507248,3.07735,14.98098
2017,1150,Developed economies: Oceania,08,Flow,1,Inward,47732.187,1629.828,2.807004,2.94367,12.24643
2017,116,Cambodia,08,Flow,1,Inward,2785.731,174.006,0.163821,12.56124,57.36322
2017,120,Cameroon,08,Flow,1,Inward,814.002,33.135,0.047869,2.3251,10.12084
2017,1200,Developing economies,08,Flow,1,Inward,700636.394,114.048,41.202573,2.20513,7.05333
2017,1210,Developing economies: Africa,08,Flow,1,Inward,41535.125,33.606,2.442571,1.88017,8.45117
2017,1220,Developing economies: America,08,Flow,1,Inward,156192.794,252.432,9.185285,2.82369,15.06495
2017,1230,Developing economies: Asia,08,Flow,1,Inward,502001.901,117.363,29.521404,2.09294,5.97827
2017,124,Canada,08,Flow,1,Inward,26521.527,722.026,1.559661,1.60718,7.07136
2017,1250,Developing economies: Oceania,08,Flow,1,Inward,906.574,80.181,0.053313,1.93015,11.32124
2017,1300,Transition economies,08,Flow,1,Inward,49681.386,160.797,2.921631,2.2541,10.12331
2017,132,Cabo Verde,08,Flow,1,Inward,111.116,206.729,0.006534,6.27853,16.43018
2017,136,Cayman Islands,08,Flow,1,Inward,22938.31,361905.753,1.348941,438.99124,1957.66409
2017,140,Central African Republic,08,Flow,1,Inward,6.889,1.499,4.05e-4,0.34489,2.67176
2017,144,Sri Lanka,08,Flow,1,Inward,1372.723,64.972,0.080726,1.55956,5.67445
2017,148,Chad,08,Flow,1,Inward,363.382,24.198,0.02137,3.49606,24.92352
2017,152,Chile,08,Flow,1,Inward,6519.011,352.943,0.383366,2.34711,11.13278
2017,156,China,08,Flow,1,Inward,136315,95.927,8.016325,1.12253,2.6371000000000002
2017,158,Taiwan,08,Flow,1,Inward,3291,139.01,0.193535,0.5571,2.63934
2017,170,Colombia,08,Flow,1,Inward,13836.696,282.902,0.8137,4.43783,20.40821
2017,174,Comoros,08,Flow,1,Inward,3.92,4.816,2.31e-4,0.36804,2.98037
2017,178,Congo Republic,08,Flow,1,Inward,4416.954,864.256,0.259749,40.23103,81.95336
2017,180,Congo Democratic Republic,08,Flow,1,Inward,1340.204,16.465,0.078814,3.56035,17.3014
2017,184,Cook Islands,08,Flow,1,Inward,1.919,109.605,1.13e-4,0.55515,5.01627
2017,188,Costa Rica,08,Flow,1,Inward,2742.175,553.98,0.16126,4.7137,27.36359
2017,191,Croatia,08,Flow,1,Inward,554.575,132.583,0.032613,1.0025,5.00973
2017,196,Cyprus,08,Flow,1,Inward,15360.248,17871.019,0.903296,67.8502,322.53187
2017,203,Czechia,08,Flow,1,Inward,9521.682,894.808,0.559945,4.40995,17.8026
2017,204,Benin,08,Flow,1,Inward,200.903,17.978,0.011815,2.16739,7.55786
2017,208,Denmark,08,Flow,1,Inward,3748.813,653.983,0.220458,1.13801,5.33664
2017,2101,Developed economies: Asia and Oceania,08,Flow,1,Inward,76878.474,465.836,4.52102,1.12482,4.73367
2017,2102,Developing economies: Asia and Oceania,08,Flow,1,Inward,502908.475,117.265,29.574717,2.09263,5.98336
2017,2116,Sub-Saharan Africa excluding South Africa,08,Flow,1,Inward,26253.607,27.54,1.543905,2.14485,10.11662
2017,2117,Africa excluding South Africa,08,Flow,1,Inward,39526.764,33.527,2.324464,2.12497,9.27897
2017,212,Dominica,08,Flow,1,Inward,-2.112,-29.558,-1.24e-4,-0.40632,-2.30012
2017,214,Dominican Republic,08,Flow,1,Inward,3570.7,339.643,0.209983,4.69759,21.44796
2017,2160,Developing economies excluding China,08,Flow,1,Inward,564321.394,119.5,33.186249,2.87487,11.84464
2017,2161,Developing economies excluding LDCs,08,Flow,1,Inward,679801.475,131.822,39.977327,2.21536,7.05251
2017,218,Ecuador,08,Flow,1,Inward,624.545,37.208,0.036728,0.59882,2.35711
2017,2200,M49 developing regions,08,Flow,1,Inward,714798.372,114.716,42.035402,2.22537,7.1314
2017,2205,M49 developed regions,08,Flow,1,Inward,985669.183,770.992,57.964598,2.03286,9.65628
2017,2210,LDCs (Least developed countries),08,Flow,1,Inward,20834.92,21.122,1.225247,1.91636,7.08021
2017,2211,LDCs: Africa and Haiti,08,Flow,1,Inward,9786.319,14.952,0.575508,1.49171,5.77389
2017,2213,LDCs: Asia,08,Flow,1,Inward,10935.504,33.285,0.643088,2.57344,8.85727
2017,2216,LDCs: Islands,08,Flow,1,Inward,113.096,34.155,0.006651,1.81644,8.60991
2017,222,El Salvador,08,Flow,1,Inward,889.073,139.176,0.052284,3.56657,22.91652
2017,2220,LLDCs (Landlocked developing countries),08,Flow,1,Inward,25549.175,51.408,1.502479,3.35155,13.07359
2017,2221,LDCs: Africa,08,Flow,1,Inward,9411.459,14.624,0.553463,1.45345,5.63482
2017,2222,LDCs: Islands and Haiti,08,Flow,1,Inward,487.956,34.138,0.028695,3.30876,12.89965
2017,2230,SIDS (Small island developing States) (UNCTAD),08,Flow,1,Inward,2227.508,197.795,0.130994,3.09634,15.42694
2017,2231,SIDS: Atlantic and Indian Ocean,08,Flow,1,Inward,1278.997,374.437,0.075214,5.63463,25.24346
2017,2232,SIDS: Caribbean,08,Flow,1,Inward,431.179,100.16,0.025356,1.15656,6.1657400000000004
2017,2233,SIDS: Pacific,08,Flow,1,Inward,517.333,146.098,0.030423,4.32544,21.74317
2017,2250,SIDS (Small island developing States) (UN-OHRLLS),08,Flow,1,Inward,91776.658,1745.441,5.397143,15.76102,64.38029
2017,226,Equatorial Guinea,08,Flow,1,Inward,304.827,241.541,0.017926,2.43518,20.32072
2017,231,Ethiopia,08,Flow,1,Inward,4017.1,37.755,0.236235,5.23164,13.78934
2017,232,Eritrea,08,Flow,1,Inward,55.468,16.252,0.003262,0.93564,11.9534
2017,233,Estonia,08,Flow,1,Inward,1920.898,1455.9,0.112963,7.15176,28.82114
2017,2370,Selected exporters of petroleum,08,Flow,1,Inward,58689.041,84.734,3.451347,1.21482,5.15841
2017,2371,Selected exporters of manufactured goods,08,Flow,1,Inward,484371.903,128.614,28.484631,2.2324,6.25121
2017,2372,Selected exporters of manufactured goods and primary commodities,08,Flow,1,Inward,263305.98,105.764,15.484328,1.37826,3.82243
2017,2373,Selected exporters of agricultural products,08,Flow,1,Inward,24654.843,56.732,1.449886,1.94345,10.49768
2017,2374,Selected exporters of minerals and mining products,08,Flow,1,Inward,20236.811,86.861,1.190073,3.04252,13.88955
2017,2376,Selected LIFDC (Low-income food-deficit countries),08,Flow,1,Inward,67554.761,32.567,3.972717,1.91861,6.60797
2017,2378,LIFDC (Low-income food-deficit countries) (FAO),08,Flow,1,Inward,82038.662,32.611,4.824477,2.0435,7.27448
2017,2411,Net food-importing economies,08,Flow,1,Inward,915591.173,216.829,53.843496,2.18327,7.7456
2017,2412,Net food-exporting economies,08,Flow,1,Inward,784874.963,239.59,46.156421,2.03005,9.33319
2017,2413,Net food-exporting developing economies,08,Flow,1,Inward,251544.577,94.426,14.792671,2.28758,9.53512
2017,2414,Net food-exporting transition economies,08,Flow,1,Inward,7203.302,107.79,0.423607,3.16001,16.39303
2017,2415,Net food-exporting developed economies,08,Flow,1,Inward,526127.084,965.09,30.940142,1.91745,9.18602
2017,2416,Major net food-exporting economies,08,Flow,1,Inward,767901.352,250.352,45.158248,2.01376,9.29558
2017,242,Fiji,08,Flow,1,Inward,386.186,440.118,0.022711,7.21375,40.53002
2017,2420,Net food-importing developing economies,08,Flow,1,Inward,449090.397,129.476,26.409819,2.16228,6.15631
2017,2421,Net food-importing transition economies,08,Flow,1,Inward,42478.085,175.427,2.498024,2.1496,9.50673
2017,2422,Net food-importing developed economies,08,Flow,1,Inward,424022.692,828.2,24.935653,2.20946,10.39492
2017,2423,Major net food-importing economies,08,Flow,1,Inward,837775.345,245.322,49.267353,2.09407,7.35104
2017,246,Finland,08,Flow,1,Inward,2864.234,519.695,0.168438,1.12294,4.82453
2017,250,"France, metropolitan",08,Flow,1,Inward,24832.526,382.967,1.460335,0.95779,4.26067
2017,2508,Industrialized economies (UNIDO),08,Flow,1,Inward,1179449.653,929.389,69.360315,2.30554,10.65843
2017,2509,EIEs (Emerging Industrial Economies) (UNIDO),08,Flow,1,Inward,423627.768,102.594,24.912429,1.66753,5.15722
2017,251,France,08,Flow,1,Inward,24832.526,370.299,1.460335,0.95542,4.25012
2017,2510,Emerging markets,08,Flow,1,Inward,682524.713,147.647,40.137473,2.1922,7.02281
2017,2511,Emerging markets: Africa,08,Flow,1,Inward,13229.759,38.422,0.778007,1.43816,8.78544
2017,2512,Emerging markets: America,08,Flow,1,Inward,139202.25,265.148,8.186116,2.74743,14.87987
2017,2513,Emerging markets: Asia,08,Flow,1,Inward,465525.486,134.768,27.376323,2.10787,5.82875
2017,2514,Emerging markets: Europe and Kazakhstan,08,Flow,1,Inward,64567.217,215.88,3.797027,2.10823,9.99688
2017,258,French Polynesia,08,Flow,1,Inward,79.266,287.083,0.004661,1.39407,7.02442
2017,2611,HIPCs (Heavily indebted poor countries) (IMF),08,Flow,1,Inward,27944.334,39.904,1.643332,4.41044,16.90401
2017,262,Djibouti,08,Flow,1,Inward,165.001,174.771,0.009703,5.96346,23.01298
2017,2621,High-income developing economies,08,Flow,1,Inward,559733.579,228.853,32.916452,2.29156,7.00772
2017,2622,Middle-income developing economies,08,Flow,1,Inward,126855.336,41.795,7.460027,1.8367,6.9129
2017,2623,Low-income developing economies,08,Flow,1,Inward,14047.48,21.208,0.826095,3.18942,12.64834
2017,2624,Low-income economies (World Bank),08,Flow,1,Inward,13822.734,20.619,0.812878,3.09605,12.43404
2017,2625,Lower-middle-income economies (World Bank),08,Flow,1,Inward,130210.233,43.367,7.657319,1.99022,7.49038
2017,2626,Upper-middle-income economies (World Bank),08,Flow,1,Inward,370865.823,139.692,21.809638,1.64944,5.04149
2017,2627,High-income economies (World Bank),08,Flow,1,Inward,1186939.57,986.805,69.800777,2.31726,10.74229
2017,2628,High-income OECD members (World Bank),08,Flow,1,Inward,948299.493,866.496,55.766985,1.96889,9.2074
2017,2629,High-income non OECD members (World Bank),08,Flow,1,Inward,238640.077,2201.406,14.033792,7.80514,31.82269
2017,266,Gabon,08,Flow,1,Inward,1314.029,636.392,0.077275,8.80158,41.10548
2017,268,Georgia,08,Flow,1,Inward,1962.613,489.586,0.115416,12.08307,47.39927
2017,270,Gambia,08,Flow,1,Inward,17.73,8.008,0.001043,1.17811,5.63896
2017,2710,BASIC,08,Flow,1,Inward,244812.129,80.942,14.396754,1.42571,3.86883
2017,2711,BRICS,08,Flow,1,Inward,270765.665,85.413,15.923013,1.44387,4.05673
2017,275,Palestinian Territory,08,Flow,1,Inward,188.345,39.675,0.011076,1.16784,4.49145
2017,276,Germany,08,Flow,1,Inward,60353.75,730.159,3.549244,1.6464,7.94992
2017,288,Ghana,08,Flow,1,Inward,3255,111.773,0.191418,5.51743,26.81026
2017,296,Kiribati,08,Flow,1,Inward,0.785,6.877,4.6e-5,0.423,0.94207
2017,300,Greece,08,Flow,1,Inward,3484.86,329.711,0.204935,1.71171,13.26974
2017,308,Grenada,08,Flow,1,Inward,111.671,1007.186,0.006567,9.92024,43.71262
2017,3101,AMU (Arab Maghreb Union),08,Flow,1,Inward,5386.403,58.114,0.31676,1.66257,4.8723
2017,3102,COMESA (Common Market for Eastern and Southern Africa),08,Flow,1,Inward,20251.92,37.006,1.190962,2.9367,13.8842
2017,3103,ECCAS (Economic Community of Central African States),08,Flow,1,Inward,1553.953,8.317,0.091384,0.60158,2.6512
2017,3104,ECOWAS (Economic Community of West African States),08,Flow,1,Inward,10922.722,29.773,0.642336,1.91999,11.20169
2017,3105,MRU (Mano River Union),08,Flow,1,Inward,1928.238,39.598,0.113395,3.57431,18.38459
2017,3106,SADC (Southern African Development Community),08,Flow,1,Inward,2464.196,7.337,0.144913,0.35305,1.62894
2017,3107,CEMAC (Economic and Monetary Community of Central Africa),08,Flow,1,Inward,7220.083,137.221,0.424594,8.41239,36.38228
2017,3108,WAEMU (West African Economic and Monetary Union),08,Flow,1,Inward,2772.954,23.134,0.16307,2.41012,10.65543
2017,3109,CEPGL (Economic Community of the Great Lakes Countries),08,Flow,1,Inward,1696.957,16.285,0.099794,3.39421,16.49445
2017,3110,EAC (East African Community),08,Flow,1,Inward,3364.646,18.717,0.197866,1.86238,7.77552
2017,3111,SACU (Southern African Customs Union),08,Flow,1,Inward,2709.642,41.794,0.159347,0.70016,3.66772
2017,3112,CEN-SAD (Community of Sahel-Saharan States),08,Flow,1,Inward,23578.984,40.83,1.386618,2.23612,11.96565
2017,3113,IGAD (Intergovernmental Authority on Development),08,Flow,1,Inward,7742.06,28.839,0.45529,2.38522,9.69606
2017,3114,United Nations member States,08,Flow,1,Inward,1585576.735,212.189,93.243575,1.99227,7.92277
2017,320,Guatemala,08,Flow,1,Inward,1169.5,69.14,0.068775,1.54655,12.56479
2017,3201,CAN (Andean Community),08,Flow,1,Inward,22034.209,203.395,1.295774,3.31685,15.13424
2017,3202,CACM (Central American Common Market),08,Flow,1,Inward,6748.448,153.141,0.396858,3.44895,20.96332
2017,3203,CARICOM (Caribbean Community),08,Flow,1,Inward,1256.077,73.849,0.073867,2.30879,10.2427
2017,3204,FTAA (Free Trade Area of the Americas),08,Flow,1,Inward,459972.321,467.528,27.049756,1.71597,8.49423
2017,3205,LAIA (Latin American Integration Association),08,Flow,1,Inward,144617.569,264.304,8.504577,2.7782,14.82204
2017,3206,NAFTA (North American Free Trade Agreement),08,Flow,1,Inward,337944.557,689.876,19.873626,1.50652,7.29184
2017,3208,MERCOSUR (Southern Common Market),08,Flow,1,Inward,77722.674,266.651,4.570665,2.55426,15.84302
2017,3209,ALBA-TCP (Bolivarian Alliance for the Peoples of Our America - Peoples' Trade Treaty),08,Flow,1,Inward,703.9,19.669,0.041394,0.26879,0.97027
2017,3210,UNASUR (Union of South American Nations),08,Flow,1,Inward,232.704,5.128,0.013685,0.06614,0.26091
2017,3211,ACS (Association of Caribbean States),08,Flow,1,Inward,63685.596,228.44,3.745181,3.02341,13.3007
2017,324,Guinea,08,Flow,1,Inward,576.5,47.773,0.033902,5.81444,29.42137
2017,328,Guyana,08,Flow,1,Inward,327.344,422.26,0.01925,9.20744,29.61385
2017,3301,ASEAN (Association of Southeast Asian Nations),08,Flow,1,Inward,152319.861,235.346,8.957528,5.4764099999999996,19.8207
2017,3302,APTA (Asia-Pacific Trade Agreement),08,Flow,1,Inward,200836.649,66.908,11.810672,1.1987,3.05537
2017,3303,GCC (The Cooperation Council for the Arab States of the Gulf),08,Flow,1,Inward,17451.473,314.276,1.026275,1.18923,4.52455
2017,3304,SAARC (South Asian Association for Regional Cooperation),08,Flow,1,Inward,46622.719,26.009,2.741759,1.40591,4.94332
2017,3305,"ASEAN (Association of Southeast Asian Nations) plus China, Japan and Republic of Korea",08,Flow,1,Inward,317525.066,141.321,18.672809,1.48315,4.17374
2017,3306,ECO (Economic Cooperation Organization),08,Flow,1,Inward,30536.82,62.742,1.79579,1.5597,6.3758
2017,3307,African Union,08,Flow,1,Inward,40469.827,33.862,2.379924,1.94091,8.73902
2017,3310,"ADB (African Development Bank), developing member countries",08,Flow,1,Inward,267188.95,67.515,15.712676,1.46121,3.88113
2017,3311,ADB: Group A,08,Flow,1,Inward,10137.434,64.166,0.596156,5.67664,19.77952
2017,3312,ADB: Group B,08,Flow,1,Inward,47697.074,27.239,2.804939,1.45899,5.15859
2017,3313,ADB: Group C,08,Flow,1,Inward,209354.442,102.203,12.311581,1.41096,3.54331
2017,332,Haiti,08,Flow,1,Inward,374.86,34.133,0.022045,4.39918,15.18175
2017,3320,ECA (Economic Commission for Africa),08,Flow,1,Inward,41535.125,33.606,2.442571,1.88017,8.45117
2017,3321,ECA: North Africa,08,Flow,1,Inward,13860.401,60.278,0.815094,2.15513,8.21434
2017,3322,ECA: East Africa,08,Flow,1,Inward,8524.945,25.709,0.501329,3.00825,11.07675
2017,3323,ECA: Central Africa,08,Flow,1,Inward,8594.495,64.032,0.50542,6.9403,31.04158
2017,3324,ECA: Southern Africa,08,Flow,1,Inward,-367.438,-2.12,-0.021608,-0.06229,-0.30473
2017,3325,ECA: West Africa,08,Flow,1,Inward,10922.722,29.773,0.642336,1.91999,11.20169
2017,3330,ECLAC (Economic Commission for Latin America and the Caribbean),08,Flow,1,Inward,156192.794,252.432,9.185285,2.82369,15.06495
2017,3331,ECLAC: Caribbean,08,Flow,1,Inward,881.217,146.226,0.051822,1.92058,8.99753
2017,3332,ECLAC: Latin America,08,Flow,1,Inward,155311.577,253.476,9.133463,2.83124,15.12281
2017,3340,ESCAP (Economic and Social Commission for Asia and the Pacific),08,Flow,1,Inward,581552.787,128.87,34.199581,1.93467,5.9225
2017,3341,ESCAP: Africa,08,Flow,1,Inward,40469.827,33.862,2.379924,1.94091,8.73902
2017,3342,ESCAP: Latin America,08,Flow,1,Inward,156192.794,252.432,9.185285,2.82369,15.06495
2017,3343,ESCAP: Europe,08,Flow,1,Inward,579345.755,961.202,34.069792,3.08319,15.01827
2017,3344,ESCAP: East and North-East Asia (ENEA),08,Flow,1,Inward,277810.216,169.801,16.337284,1.45844,4.01149
2017,3345,ESCAP: North and Central Asia,08,Flow,1,Inward,40115.514,172.025,2.359087,2.07979,9.19005
2017,3346,ESCAP: South and South-West Asia,08,Flow,1,Inward,62661.719,32.063,3.68497,1.35343,4.85523
2017,3347,ESCAP: Pacific,08,Flow,1,Inward,48638.761,1198.2,2.860317,2.91514,12.2278
2017,3348,ESCAP: Pacific island developing economies (PIDE),08,Flow,1,Inward,303763.752,170.498,17.863543,1.47244,4.17714
2017,3349,ESCAP: Other area,08,Flow,1,Inward,35058.677,232.928,2.061708,1.63387,6.72089
2017,3350,"ESCAP: East and North-East Asia, incl. the Russian Federation",08,Flow,1,Inward,303763.752,170.498,17.863543,1.47244,4.17714
2017,3355,UNECE (Economic Commission for Europe),08,Flow,1,Inward,952429.777,738.105,56.009876,2.20474,10.57682
2017,3360,"UNECE: Eastern Europe, Caucasus and Central Asia",08,Flow,1,Inward,44152.014,151.624,2.596463,2.09708,9.38069
2017,3361,UNECE: West Balkans,08,Flow,1,Inward,6083.947,277.075,0.357781,3.95177,19.52287
2017,3370,ESCWA (Economic and Social Commission for Western Asia),08,Flow,1,Inward,28452.457,98.109,1.673214,1.32694,5.50697
2017,3371,ESCWA: Arab countries,08,Flow,1,Inward,31288.018,80.523,1.839966,1.2818,5.08289
2017,340,Honduras,08,Flow,1,Inward,1175.8,124.7,0.069146,5.08987,21.84105
2017,3401,EFTA (European Free Trade Association),08,Flow,1,Inward,104703.232,7412.975,6.15732,9.43791,38.37105
2017,3402,EU25 (European Union 2004 … 2007),08,Flow,1,Inward,457273.887,948.909,26.891068,2.67726,13.21163
2017,3404,EU15 (European Union 1995 … 2004),08,Flow,1,Inward,407771.143,997.891,23.979943,2.5627,12.6462
2017,3406,Euro area,08,Flow,1,Inward,315832.805,926.322,18.573292,2.49475,12.07328
2017,3408,EU27 (European Union 2007 … 2013),08,Flow,1,Inward,464522.077,913.243,27.317315,2.67727,13.19884
2017,3410,EU28 (European Union 2013 … 2020),08,Flow,1,Inward,465076.651,906.876,27.349928,2.67195,13.17317
2017,3411,CEFTA (Central European Free Trade Agreement),08,Flow,1,Inward,5686.372,260.43,0.3344,5.25032,25.55859
2017,3412,European Union (2020 …),08,Flow,1,Inward,363835.95,816.043,21.39623,2.46842,11.85395
2017,344,Hong Kong,08,Flow,1,Inward,110684.503,15149.156,6.509063,32.39373,149.7579
2017,348,Hungary,08,Flow,1,Inward,3502.347,359.96,0.205964,2.47497,11.04565
2017,3501,MSG (Melanesian Spearhead Group),08,Flow,1,Inward,273.177,26.685,0.016065,0.92796,8.89918
2017,352,Iceland,08,Flow,1,Inward,-41.399,-123.801,-0.002435,-0.16902,-0.76504
2017,356,India,08,Flow,1,Inward,39903.84,29.808,2.346639,1.52009,5.07984
2017,360,Indonesia,08,Flow,1,Inward,20579.23,77.76,1.21021,2.02666,6.30048
2017,3601,Northern America and Europe,08,Flow,1,Inward,908790.709,816.224,53.443578,2.18186,10.58769
2017,3602,Central and Southern Asia,08,Flow,1,Inward,60723.148,31.234,3.570968,1.49715,5.48017
2017,3603,Eastern and South-Eastern Asia,08,Flow,1,Inward,433427.792,187.775,25.488742,1.93295,5.54314
2017,3604,Western Asia and Northern Africa,08,Flow,1,Inward,64432.383,135.908,3.789098,1.73995,6.70826
2017,364,Iran,08,Flow,1,Inward,5019,62.213,0.295154,1.08878,5.51656
2017,368,Iraq,08,Flow,1,Inward,-5032.4,-134.009,-0.295942,-2.63969,-14.88945
2017,372,Ireland,08,Flow,1,Inward,52834.921,11115.463,3.107082,15.74046,50.14581
2017,376,Israel,08,Flow,1,Inward,18168.981,2203.944,1.06847,5.14333,23.91832
2017,380,Italy,08,Flow,1,Inward,24047.083,396.335,1.414145,1.22576,7.01181
2017,384,Côte d'Ivoire,08,Flow,1,Inward,975.015,39.898,0.057338,2.55589,13.12713
2017,388,Jamaica,08,Flow,1,Inward,888.04,304.035,0.052223,5.9977,27.09303
2017,3901,APEC (Asia-Pacific Economic Cooperation),08,Flow,1,Inward,847517.17,289.798,49.840243,1.75175,6.3967
2017,3903,CIS (Commonwealth of Independent States),08,Flow,1,Inward,37502.457,158.278,2.20542,1.93406,8.72057
2017,3905,OECD (Organisation for Economic Cooperation and Development),08,Flow,1,Inward,993484.523,764.042,58.424198,1.98004,9.1887
2017,3906,OPEC (Organization of the Petroleum Exporting Countries),08,Flow,1,Inward,16348.046,33.947,0.961385,0.565,2.45446
2017,3907,"ACP (African, Caribbean and Pacific Group of States)",08,Flow,1,Inward,34491.698,31.945,2.028366,1.86023,8.93917
2017,3908,LAS (League of Arab States),08,Flow,1,Inward,31288.018,80.523,1.839966,1.2818,5.08289
2017,3909,OIC (Organisation of Islamic Cooperation),08,Flow,1,Inward,109342.681,61.434,6.430154,1.65115,6.45763
2017,3910,OAS (Organization of American States),08,Flow,1,Inward,459972.321,467.528,27.049756,1.71597,8.49423
2017,3912,G7 (Group of Seven),08,Flow,1,Inward,525230.892,682.153,30.88744,1.41852,6.83517
2017,3913,G8 (Group of Eight),08,Flow,1,Inward,551184.428,602.064,32.413699,1.42764,6.86328
2017,3916,G20 (Group of Twenty),08,Flow,1,Inward,1192515.521,248.505,70.128684,1.71117,6.73781
2017,3919,G-77 (Group of 77),08,Flow,1,Inward,528229.92,89.804,31.063805,1.93892,6.05095
2017,392,Japan,08,Flow,1,Inward,10977.306,86.095,0.645546,0.22587,0.94767
2017,3921,GSTP (Global System of Trade Preferences among Developing Countries),08,Flow,1,Inward,377794.389,102.422,22.217089,2.57301,10.6406
2017,3922,GSTP: Africa,08,Flow,1,Inward,25512.48,43.168,1.500321,2.09976,9.39376
2017,3923,GSTP: Latin America,08,Flow,1,Inward,141083.307,255.77,8.296736,2.72203,14.70553
2017,3924,GSTP: Asia,08,Flow,1,Inward,211198.602,82.954,12.420031,2.54919,9.10536
2017,3932,TPP (Trans-Pacific Partnership),08,Flow,1,Inward,240338.392,480.627,14.133665,2.25249,9.58413
2017,3940,ACP: Africa,08,Flow,1,Inward,29325.846,28.193,1.724575,1.73583,8.31082
2017,3941,ACP: Western Africa,08,Flow,1,Inward,11509.966,31.011,0.676871,1.99841,11.53635
2017,3942,ACP: Eastern Africa,08,Flow,1,Inward,12843.74,32.161,0.755306,3.60274,13.55334
2017,3943,ACP: Central Africa,08,Flow,1,Inward,1197.2,7.298,0.070404,0.48675,2.13513
2017,3944,ACP: Southern Africa,08,Flow,1,Inward,2709.642,41.794,0.159347,0.70016,3.66772
2017,3945,ACP: Caribbean,08,Flow,1,Inward,4826.777,175.38,0.28385,3.70108,16.6951
2017,3946,ACP: Pacific,08,Flow,1,Inward,339.075,28.264,0.01994,0.98822,8.32178
2017,3947,ACP: LDCs,08,Flow,1,Inward,9897.996,15.3,0.582075,1.51195,5.81237
2017,3948,ACP: LLDCs,08,Flow,1,Inward,8326.042,27.435,0.489632,3.35538,12.22744
2017,3949,ACP: islands states,08,Flow,1,Inward,5852.909,90.114,0.344194,3.18201,16.42006
2017,3950,ACP: Northern Africa,08,Flow,1,Inward,1065.298,26.102,0.062647,0.85896,3.75395
